Block,Plot,Ind.,treatment,dead_limbs,total_limbs,chart_ht_cm,dbh_cm,ht1_cm,ht2_cm,diam1_mm,diam2_mm,pct_brown,pct_dead_limbs
1,1,S,DC,4,14,182,6.6,360,405,74.83,85,45,28.57142857
1,2,C,AN,0,1,75,2.57,140,203,49.65,52.5,10,0
1,2,D,AN,1,5,122,3.8,330,389,50.66,57,10,20
1,2,F,AN,0,9,82,8.4,430,464,94.83,114,1,0
1,2,G,AN,2,19,77,6.1,390,467,74.4,78,1,10.52631579
1,2,Q,AN,1,18,58,7.8,430,510,92.81,102,1,5.555555556
1,2,T,AN,1,22,77,5.9,350,340,63.85,83,2,4.545454545
1,3,C,DN,3,23,98,8.4,400,450,85.15,115,1,13.04347826
1,3,E,DN,8,16,127,4.5,320,385,66.94,67,15,50
1,3,G,DN,1,17,12,3.6,330,351,57.91,59,20,5.882352941
2,5,A,AN,0,12,67,4.5,300,354,50.71,66,0.5,0
2,5,B,AN,2,4,110,1.7,166,177,44.35,51,15,50
2,5,O,AN,0,13,50,6.5,430,458,75.66,95,0,0
2,6,B,DN,0,1,47,NA,71,81,35.12,36,20,0
2,6,G,DN,1,4,146,3.6,257,291,54.98,63,20,25
2,6,R,DN,0,14,95,5.8,450,500,65.23,76,1,0
2,7,B,AC,1,17,121,7.9,490,564,73.5,101,1,5.882352941
2,7,G,AC,3,5,168,3.3,222,253,56.11,46,45,60
2,7,M,AC,1,8,162,4.9,320,360,62.35,72,5,12.5
3,10,C,,0,1,23,NA,310,39,29.42,27,15,0
3,10,D,,1,1,49,NA,43,51,31.68,31,100,100
3,10,E,,0,10,50,3.5,248,280,54.27,57,1,0
3,10,H,,0,13,46,5.9,440,475,74.12,79,1,0
3,10,I,,0,6,40,2.7,235,265,47.59,52,5,0
3,10,K,,0,11,85,3.9,262,273,59.41,59,1,0
3,10,P,,0,12,50,7.6,262,558,59.41,98,1,0
3,11,O,,2,3,188,3.6,NA,245,NA,62,99,66.66666667
3,12,E,,6,6,157,2.2,NA,220,NA,46,98,100
4,14,B,DC,11,11,230,3.7,NA,350,NA,57,99,100
4,14,D,DC,5,5,330,4.5,NA,426,NA,70,99,100
4,14,E,DC,7,10,312,5.8,NA,454,NA,75,75,70
4,14,K,DC,1,1,78,NA,NA,78,NA,38,98,100
4,14,T,DC,4,4,160,2.3,NA,202,NA,53,95,100
4,15,F,,0,3,41,NA,NA,118,NA,39,5,0
4,15,I,,0,1,71,NA,NA,138,NA,48,5,0
4,15,O,,2,2,92,NA,NA,129,NA,45,97,100
4,16,E,DN,1,10,65,5.4,NA,365,NA,73,5,10
5,17,A,DN,1,11,65,6.6,NA,445,NA,88,15,9.090909091
5,17,B,DN,1,12,144,9.1,NA,605,NA,113,10,8.333333333
5,17,D,DN,0,10,115,5.3,NA,496,NA,72,10,0
5,17,F,DN,8,12,233,4.6,NA,439,NA,62,20,66.66666667
5,17,J,DN,4,10,154,4.1,NA,436,NA,56,15,40
5,17,M,DN,7,25,173,9.8,NA,630,NA,117,10,28
5,17,P,DN,3,10,108,4.4,NA,434,NA,62,15,30
5,17,Q,DN,0,1,6,2.3,NA,242,NA,39,20,0
5,17,S,DN,3,7,163,3.2,NA,337,NA,49,25,42.85714286
5,17,T,DN,5,17,105,8.9,NA,565,NA,100,20,29.41176471
5,18,A,AN,1,1,40,NA,NA,40,NA,29,98,100
5,18,B,AN,0,15,155,9.9,NA,630,NA,121,5,0
5,18,F,AN,1,3,135,2.3,NA,197,NA,54,75,33.33333333
5,18,G,AN,5,20,152,6.7,NA,593,NA,92,25,25
5,18,H,AN,3,15,112,7.7,NA,598,NA,99,35,20
5,18,M,AN,0,1,91,1.5,NA,175,NA,34,15,0
5,18,O,AN,3,13,126,5.8,NA,523,NA,80,50,23.07692308
5,18,P,AN,3,14,115,6,NA,554,NA,82,15,21.42857143
5,18,R,AN,1,1,17,NA,NA,17,NA,23,100,100
5,18,S,AN,5,13,144,5.1,NA,500,NA,69,35,38.46153846
5,18,T,AN,3,12,139,5.3,NA,424,NA,79,30,25
5,19,A,DC,1,3,208,4.2,NA,299,NA,59,95,33.33333333
5,19,B,DC,5,5,173,3.6,NA,259,NA,57,99,100
5,19,C,DC,5,9,163,3.9,NA,296,NA,57,60,55.55555556
