fire_id,structure,biomass,rate_of_spread_ms,avg_flame_ht,pct_fuel_moisture,avg_air_temp,avg_rh,avg_wind_speed
43,piled,250,0.08992805755395684,24,15.245478036175717,27.878761061946904,36.79557522123894,0.8796460176991151
44,standing,250,0,8.5,19.576446280991732,28.110227272727272,36.33238636363637,0.8403409090909091
45,piled,500,0.04384042086804034,37,13.873943120676401,27.820717131474105,37.505577689243026,0.3844621513944223
46,standing,500,0.1673640167364017,65.5,9.21757770632368,27.824378109452738,37.19701492537313,0.4328358208955224
47,piled,1000,0.027979854504756575,62.5,9.613899613899608,22.809961685823755,64.44176245210728,0
48,standing,1000,0.18796992481203006,81.5,15.020297699594039,26.083333333333332,44.82634408602151,0.3510752688172043
49,piled,1500,0.024304289707133307,157,9.702062643239111,22.265289256198347,67.7077134986226,0
50,standing,1500,0.09099181073703366,173.5,12.401165210153977,22.75625,65.9659090909091,0
51,piled,2000,0.06887052341597796,100.5,14.587813620071685,26.692678571428573,55.875,0.5807142857142857
52,standing,2000,0.6349206349206349,138,13.077834847886207,28.205555555555556,54.26984126984127,0.4365079365079365
53,piled,250,0.047014574518100614,27,4.6342825237297705,25.7525,55.152499999999996,0.01625
54,standing,250,0,0,7.991242474001099,25.7525,55.152499999999996,0.01625
55,piled,500,0.033973161202649906,59,12.20964860035735,25.264727272727274,57.39090909090909,0.25127272727272726
56,standing,500,0.03027092477675193,10.5,12.987960598321775,25.264727272727274,57.39090909090909,0.25127272727272726
57,piled,1000,0.03477051460361613,58,9.821428571428575,24.247154471544714,60.042276422764225,0.36829268292682926
58,standing,1000,0.06863417982155114,146.5,15.200000000000003,23.56923076923077,61.56923076923077,0.7692307692307693
59,piled,1000,0.020907380305247754,69,15.182522123893794,25.384677419354837,59.708064516129035,0.10141129032258064
60,standing,1000,0.12836970474967907,182,14.289558665231421,25.79078014184397,58.317730496453905,0
61,piled,2000,0.025097251850922323,139,10.270793036750488,24.3026706231454,63.52077151335312,0
62,standing,2000,0.3883495145631068,248,15.481793410948725,24.2,62.52626262626263,0
63,piled,250,0.04096681687832855,18,13.718070009460748,26.912389380530975,60.607964601769915,1.0924778761061946
64,standing,250,0,0,10.33248081841432,27.082716049382714,60.47901234567901,1.1037037037037036
65,piled,500,0.12406947890818858,38.5,10.797060486150379,28.705309734513275,56.63008849557522,0.7234513274336283
66,standing,500,0.4016064257028112,46.5,9.531502423263325,29.281896551724138,55.860344827586204,0.6922413793103448
67,piled,1000,0.055248618784530384,59,11.10195674562307,28.21851851851852,55.95925925925926,0.4948148148148148
68,standing,1000,0.7168458781362007,92.5,10.711493354182954,27.722077922077922,56.955844155844154,0.587012987012987
69,piled,1500,0.1048767697954903,52.5,9.040488075429852,27.112781954887218,59.57443609022556,1.019548872180451
70,standing,1500,0.35398230088495575,134,7.364975450081821,27.112781954887218,59.57443609022556,1.019548872180451
71,piled,2000,0.043440486533449174,145,11.096468107538222,28.467236467236468,52.047578347578344,0.711965811965812
72,standing,2000,0.3076923076923077,228,6.841611996251165,28.346153846153847,52.16153846153846,0.4269230769230769
73,piled,1500,0.04099200655872105,55,8.82691201840138,30.327380952380953,47.63214285714286,0
74,standing,1500,0.29850746268656714,138,8.047945205479449,30.327380952380953,47.63214285714286,0
